product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Act 2 Popcorn - Butter - 2.75 oz,ACT II MICRO POP BTR TRAY,Core-Mark,2,18,12.42,24.84,,,,076150232233,2,USC,1069,14150,false,
Airheads Bites - Original Fruit - 2.0 oz,AIRHEADS BITES FRUIT,Core-Mark,1,18,17.46,17.46,,,,073390014360,2,USC,1595,14150,false,
Airheads Xtremes Bites - Rainbow Berry - 6.0 oz,AIRHEADS XTRM BITES BERRY PEG,Core-Mark,1,12,21.24,21.24,,,,073390008185,2,USC,295,14150,false,
Airheads Xtremes Sourfuls Bites - Rainbow Berry - 6.0 oz,AIRHEADS XTRM BITES SOURFULS P,Core-Mark,1,12,21.24,21.24,,,,073390009137,2,USC,252,14150,false,
Andy Capp's - Hot Fries - 3.0 oz,ANDY CAPP FRIES HOT,Core-Mark,1,12,12.12,12.12,,,,026200471594,2,USC,5091,14150,false,
Angie's Boom Chicka Pop - Sweet & Salty Kettle Corn - 7.0 oz,ANGIES BOOMCHICKAPOP K/C SWT&S,Core-Mark,1,12,36.12,36.12,,,,818780011938,2,USC,1254,14150,false,
Arizona Iced Tea - Green Tea W/ Ginseng & Honey - 22.0 oz,ARIZONA BIG CAN GRN @.,Core-Mark,1,24,16.08,16.08,,,,613008715267,2,USC,1049,14150,false,
Arizona Fruit Juice Cocktail - Mucho Mango - 22.0 fl. oz,ARIZONA MUCHO MANGO NON-PP C,Core-Mark,1,24,22.56,22.56,,,,613008756482,2,USC,973,14150,false,
Bagel Bites Pizza Snacks - Cheese & Pepperoni - 9.0 count,BAGEL BITES CHS/PEP,Core-Mark,2,8,21.76,43.52,,,,070085060121,2,USC,2377,14150,false,
Cups - Aluminum - 10.0 count,BALL CUP ALLUM 20Z,Core-Mark,1,10,55.6,55.6,,,,810052130002,2,USC,7420,14150,false,
Takis - Fuego - 3.25 oz,BARCEL TAKIS FUEGO FLVR,Core-Mark,1,20,32.4,32.4,,,,757528048075,2,USC,956,14150,false,
Barebell's Protein Bar - Chocolate  Dough - 1.9 fl. oz,BAREBELLS BAR CHOC DOUGH,Core-Mark,1,12,24.72,24.72,,,,850000429260,2,USC,5831,14150,false,
Barebells Protein Bar - Cookies & Cream - 1.94 oz,BAREBELLS BAR CKIES & CREAM,Core-Mark,2,12,24.6,49.2,,,,850000429116,2,USC,3853,14150,false,
Barebells Protein Bar - Salty Peanut - 1.94 fl. oz,BAREBELLS BAR SALTY PNUT,Core-Mark,1,12,24.6,24.6,,,,850000429086,2,USC,3854,14150,false,
Blue Diamond Almonds - Smokehouse - 4.0 oz,BLUE D ALMONDS SMOKEHOUSE,Core-Mark,1,12,26.4,26.4,,,,041570099186,2,USC,3012,14150,false,
Brookside Dark Chocolate - Acai & Blueberry - 7.0 oz,BROOKSIDE DARK CHOC ACAI W/BLB,Core-Mark,1,12,45.24,45.24,,,,068437389716,2,USC,2369,14150,false,
Bugles - Original - 3.0 oz,BUGLES ORIGINAL,Core-Mark,1,6,10.86,10.86,,,,016000368309,2,USC,1761,14150,false,
Capri Sun - Fruit Punch - 6.0 fl. oz,CAPRI-SUN FRUIT PUNCH,Core-Mark,1,40,0,0,,,,087684001073,2,USC,1271,14150,false,
Capri Sun - Strawberry Kiwi - 6.0 fl. oz,CAPRI-SUN STRAWBERRY KIWI,Core-Mark,1,10,20.1,20.1,,,,087684000991,2,USC,649,14150,false,
Bicycle Playing Cards - Single Deck - 1.0 count,CARDS BICYCLE POKER #8,Core-Mark,1,12,36.6,36.6,,,,073854008089,2,USC,1660,14150,false,
Cheez It - Original - 3.0 oz,CHEEZ-IT,Core-Mark,3,6,7.38,22.14,,,,024100191345,2,USC,584,14150,false,
Cheez It - Extra Toasty - 7.0 oz,CHEEZ-IT EXTRA TOASTY,Core-Mark,2,6,15.54,31.08,,,,024100117925,2,USC,31,14150,false,
Cheez It - White Cheddar - 7.0 oz,CHEEZ-IT WHT CHED,Core-Mark,2,12,227.04,454.08,,,,024100705719,2,USC,1699,14150,false,
Chex Mix - Cheddar - 3.75 oz,CHEX MIX CHED,Core-Mark,1,8,14.4,14.4,,,,016000126060,2,USC,3051,14150,false,
Chex Mix Muddy Buddies - Cookies & Cream - 4.25 oz,CHEX MIX CKIES N CRM,Core-Mark,1,7,18.41,18.41,,,,016000507043,2,USC,4251,14150,false,
Chex Mix - Traditional Mix - 3.75 oz,CHEX MIX TRADITIONAL,Core-Mark,1,8,14.32,14.32,,,,016000160101,2,USC,1762,14150,false,
Chobani Flip - Key Lime Crumble - 5.3 oz,CHOBANI FLIP KEY LIME CRUMB,Core-Mark,5,1,2.02,10.1,,,,818290012272,2,USC,2897,14150,false,
Chobani Greek Yogurt - Vanilla - 5.3 oz,CHOBANI GRK YOGURT VANILLA,Core-Mark,1,12,18.84,18.84,,,,894700010021,2,USC,7277,14150,false,
Clearblue Pregnancy Test - Early Detection - 1.0 count,CLEAR BLUE PREGNANCY TEST,Core-Mark,5,1,4,20,,,,633472249631,2,USC,5125,14150,false,
Clif Builders Bar - Chocolate Mint - 2.4 fl. oz,CLIF BAR BUILDERS CHOC MINT,Core-Mark,1,12,22.8,22.8,,,,722252601445,2,USC,2834,14150,false,
Clif Bar - Cool Mint Chocolate - 2.4 oz,CLIF BAR COOL MINT CHOC,Core-Mark,1,12,15.84,15.84,,,,722252102003,2,USC,2255,14150,false,
Colgate Toothpaste - Total Whitening - 3.3 oz,COLGATE TPSTE TTL WHTNG,Core-Mark,3,1,5.91,17.73,,,,035000460462,2,USC,1827,14150,false,
Crystal Geyser - Water Bottle - 1.0 L,CRYSTAL GEYSER SPRING WATER,Core-Mark,4,15,9.9,39.6,,,,075140005123,2,USC,3098,14150,false,
Daelmans Stroopwafels - Caramel - 2.75 oz,DAELMANS WAFER JMBO DBL CARAME,Core-Mark,1,12,16.44,16.44,,,,853754003052,2,USC,5436,14150,false,
Dannon Oikos Triple Zero - Vanilla  - 5.3 oz,DANNON OIKOS YGRT TRPL 0 VANIL,Core-Mark,3,1,2.03,6.09,,,,036632008343,2,USC,7245,14150,false,
Duracell Batteries - Double A - 4.0 count,DURACELL BATT AA MN1500B,Core-Mark,6,1,5.74,34.44,,,,041333415017,2,USC,354,14150,false,
Duracell Batteries - Triple A - 4.0 count,DURACELL BATT AAA MN2400B,Core-Mark,3,1,5.72,17.16,,,,041333424019,2,USC,353,14150,false,
Extra Gum - Bubblegum - 15.0 count,EXTRA CLASSIC BUBBLE SLIM PK,Core-Mark,1,10,10.6,10.6,,,,022000008459,2,USC,5801,14150,false,
Extra Gum - Spearmint - 15.0 count,EXTRA SPEARMINT SLIM PK,Core-Mark,1,10,10.6,10.6,,,,022000008992,2,USC,476,14150,false,
Fiji Water - Original - 16.9 fl. oz,FIJI NAT ARTESIAN WATER LOO,Core-Mark,1,24,27.84,27.84,,,,632565000012,2,USC,56,14150,false,
Fiorucci Panino - Pepperoni & Mozzarella - 1.5 oz,FIORUCCI PANINOS PPRNI/MOZZ 2P,Core-Mark,1,8,14,14,,,,017869807022,2,USC,4055,14150,false,
Fiorucci Panino Prosciutto Wrap - Prosciutto & Mozzarella - 1.5 oz,FIORUCCI PANINOS PROSCUITTO/MO,Core-Mark,1,8,14,14,,,,017869807008,2,USC,5343,14150,false,
Cinnamon Toast Crunch Cereal Cup - Cup - 2.0 oz,G MILLS CEREAL CUP CINN TOAST,Core-Mark,1,6,7.56,7.56,,,,016000141544,2,USC,4271,14150,false,
Gardetto's Crackers Snack Mix - Original - 5.5 oz,GARDETTO ORIG RECIPE,Core-Mark,1,7,18.13,18.13,,,,016000166196,2,USC,2478,14150,false,
Fruit Gushers - Flavor Mixers - 4.25 oz,GUSHERS FLAVOR MIXER,Core-Mark,1,8,14.32,14.32,,,,016000515284,2,USC,2370,14150,false,
Fruit Gushers - Super Sour Berry - 4.25 oz,GUSHERS SUPER SOUR BERRY,Core-Mark,2,8,14.32,28.64,,,,016000137042,2,USC,2495,14150,false,
Halo Top - Sea Salt Caramel - 16.0 oz,HALO TOP I/C SEA SALT CARAMEL,Core-Mark,1,8,40.8,40.8,,,,858089003159,2,USC,697,14150,false,
Haribo Goldbears - Gummi Candy - 5.0 oz,HARIBO GOLDBEARS,Core-Mark,1,12,16.56,16.56,,,,042238302211,2,USC,1037,14150,false,
Haribo Happy Cola - Gummies - 5.0 oz,HARIBO HAPPY COLA,Core-Mark,1,12,16.56,16.56,,,,042238323643,2,USC,78,14150,false,
Haribo Sour Streamers - Sour - 4.5 oz,HARIBO STREAMERS SOUR ZING,Core-Mark,1,12,16.56,16.56,,,,042238750036,2,USC,378,14150,false,
Haribo Twin Snakes - Haribo - 5.0 oz,HARIBO TWIN SNAKES,Core-Mark,1,12,16.56,16.56,,,,042238377554,2,USC,2453,14150,false,
Health-ade Kombucha - Pink Lady Apple - 16.0 fl. oz,HEALTH ADE KOMBUCHA PNK LDY AP,Core-Mark,1,6,20.34,20.34,,,,851861006126,2,USC,82,14150,false,
Hi Chew Candy - Original Mix - 3.53 oz,HI CHEW MIX BAG REGULAR,Core-Mark,1,6,10.92,10.92,,,,873983005047,2,USC,2490,14150,false,
Hi Chew Candy - Sweet & Sour Mix - 3.17 oz,HI CHEW SOURS SWEET MIX PEG BA,Core-Mark,1,6,10.98,10.98,,,,851681008126,2,USC,1769,14150,false,
"Hillshire Small Plates - Hot Calabrese Salami, Gouda & Toasted Rounds - 2.76 oz",HILLSHIRE SM PLATE CAL SAL/GOU,Core-Mark,1,12,0,0,,,,044500064797,2,USC,3095,14150,True,product_oss
"Hillshire Small Plates - Genoa Salami, White Cheddar Cheese & Toasted Rounds - 2.76 oz",HILLSHIRE SM PLATE GEN SAL/CHE,Core-Mark,2,12,32.28,64.56,,,,044500201819,2,USC,85,14150,True,product_oss
"Hillshire Small Plates - Italian Dry Salami, Gouda & Toasted Rounds - 2.76 oz",HILLSHIRE SM PLATE ITL SAL/GOU,Core-Mark,2,12,32.28,64.56,,,,044500201826,2,USC,87,14150,True,product_oss
Hostess Baby Bundt Cakes - Strawberry Cheesecake - 2.5 oz,HOST BABY BUNDTS STRWBRY CHSCA,Core-Mark,4,1,0,0,,,,888109250256,2,USC,7846,14150,false,
Hostess Donettes - Chocolate Frosted - 10.75 oz,HOST DONETTES CHOC B,Core-Mark,1,6,16.98,16.98,,,,888109150020,2,USC,393,14150,false,
Hostess Donettes - Powdered - 10.75 oz,HOST DONETTES PWDR SUGR B,Core-Mark,1,6,16.98,16.98,,,,888109150044,2,USC,46,14150,false,
Hostess Donuts Limited Edition - Frosted Strawberry - 3.0 oz,HOST VDAY DONNETE/BUNDT C/U 20,Core-Mark,5,1,0,0,,,,888109253950,2,USC,7840,14150,True,product_oss
Hot Pocket - Pepperoni Pizza - 2.0 count,HOT PCKT PIZZA PEPP SKINNY BX,Core-Mark,1,8,24.32,24.32,,,,043695796100,2,USC,4978,14150,false,
Jolly Rancher - Chews - 2.06 oz,J RANCHER FRT CHW ORIG,Core-Mark,1,12,12.24,12.24,,,,010700519528,2,USC,6785,14150,false,
Kettle Potato Chips - Honey Dijon - 2.0 oz,KETTLE CHIPS HNY DIJON,Core-Mark,2,5,6.2,12.4,,,,084114033703,2,USC,3216,14150,false,
Kettle Potato Chips - Jalapeno - 5.0 oz,KETTLE CHIPS JALAPENO,Core-Mark,1,8,20.96,20.96,,,,084114116352,2,USC,4297,14150,false,
Kettle Potato Chips - Sea Salt & Vinegar - 1.5 oz,KETTLE CHIPS SLT/VINEGAR,Core-Mark,0,6,20.88,0,,,,084114009968,2,USC,1178,14150,false,
Kit Kat King Size - Original - 3.0 oz,KIT KAT KING SZ,Core-Mark,1,24,42,42,,,,034000002290,2,USC,271,14150,false,
Philadelphia Cream Cheese Dipper - Strawberry - 2.5 oz,KRAFT PHIL BGL CHP W/ STR CRM,Core-Mark,1,10,20.8,20.8,,,,021000062348,2,USC,7246,14150,false,
Kraft Philadelphia Cream Cheese - Spread - 8.0 oz,KRAFT PHIL CREAM CHSE PLN SOFT,Core-Mark,3,1,4.72,14.16,,,,021000000142,2,USC,6531,14150,false,
Lifesavers Gummies - Original 5 Flavors - 7.0 oz,L SAV GUMMI FIVE FLVR PEG 83,Core-Mark,1,12,23.64,23.64,,,,019000083425,2,USC,109,14150,false,
Advil - Ibuprofen Tablets - 4.0 count,LIL D ADVIL 4CT,Core-Mark,1,6,9.84,9.84,,,,366715970022,2,USC,5715,14150,True,product_oss
Dayquil Severe + - Cold & Flu - 4.0 count,LIL D DAYQUIL SEVERE 4CT TRI,Core-Mark,1,6,14.34,14.34,,,,366715970428,2,USC,2717,14150,false,
Nyquil Severe - Cold & Flu - 4.0 count,LIL D NYQUIL SEVERE TRIAL 4TAB,Core-Mark,1,6,14.34,14.34,,,,103667159705,2,USC,2718,14150,false,
Loacker Quadratini - Hazelnut - 4.41 oz,LOACKER WAFER QUADRATINI HZLNT,Core-Mark,1,6,13.86,13.86,,,,076580005919,2,USC,1735,14150,false,
M&m's - Original Milk Chocolate - 3.1 oz,M&M MILK CHOC BOX PACK,Core-Mark,1,12,13.56,13.56,,,,040000497523,2,USC,350,14150,false,
Martinelli's  Apple Juice - Gold Medal - 10.0 fl. oz,MARTINELLI APPLE JCE P,Core-Mark,0,12,14.76,0,,,,041244000081,2,USC,907,14150,false,
Maruchan Instant Lunch Ramen - Chicken - 2.25 oz,MARUCHAN INST LUNCH CHIX,Core-Mark,1,6,3.78,3.78,,,,041789001215,2,USC,1001,14150,false,
Meiji Hello Panda - Chocolate - 7.0 oz,MEIJI PANDA CHOC,Core-Mark,1,6,17.88,17.88,,,,072320700915,2,USC,4673,14150,false,
Mike And Ike - Original - 5.0 oz,MIKE & IKE P,Core-Mark,1,12,13.68,13.68,,,,070970472596,2,USC,3188,14150,True,product_oss
Minute Maid - Frozen Lemonade - 12.0 oz,MINUTE MD SFT LMNDE CUP FRZ LE,Core-Mark,1,12,26.28,26.28,,,,025000065996,2,USC,3879,14150,false,
Minute Maid - Frozen Strawberry Lemonade - 12.0 oz,MINUTE MD SFT LMNDE CUP FRZ ST,Core-Mark,1,12,26.28,26.28,,,,025000066016,2,USC,4104,14150,false,
Mother's Circus Animal Cookies - Frosted - 3.0 oz,MOTHERS CIRCUS ANIMAL P,Core-Mark,1,6,7.44,7.44,,,,027800100655,2,USC,1720,14150,false,
Oreo Cakesters - Soft-baked - 3.03 oz,NAB CAKESTERS OREO ORIG,Core-Mark,1,8,12.56,12.56,,,,044000069919,2,USC,7188,14150,false,
Oreo Mini - Regular - 4.0 oz,NAB OREO MINI BIG BAG #6,Core-Mark,1,12,16.56,16.56,,,,044000006808,2,USC,4139,14150,false,
Ritz Bits - Peanut Butter - 3.0 oz,NAB RITZ BITS SNDW PB,Core-Mark,0,12,0,0,,,,044000006785,2,USC,1040,14150,false,
Ritz Cheese Bites - Snack - 3.0 oz,NAB RITZ BITS SNDW REAL CHSE,Core-Mark,1,12,16.56,16.56,,,,044000006778,2,USC,1890,14150,false,
Nerds Gummy Clusters - Original - 5.0 oz,NERDS CLUSTERS RNBW MED PEG,Core-Mark,2,12,25.44,50.88,,,,079200049065,2,USC,3432,14150,false,
