product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Gogo Squeez - Apple Apple - 3.2 oz,,Core-Mark,1,48,39.84,39.84,,,,890000001004,1,UCLA,4529,14149,True,product_oss
Takis - Fuego - 3.25 oz,,Core-Mark,2,20,32.2,64.4,,,,757528048075,1,UCLA,956,14149,false,
Totino's Pizza Rolls - Pepperoni - 7.5 oz,,Core-Mark,1,12,29.64,29.64,,,,042800005830,1,UCLA,1876,14149,false,
Kraft Macaroni & Cheese - Original - 2.05 oz,,Core-Mark,1,10,18.5,18.5,,,,021000010875,1,UCLA,413,14149,false,
Camel Cigarettes - Blue - 20.0 count,,Core-Mark,1,10,53.6,53.6,,,,012300000048,1,UCLA,2586,14149,false,
Extra Gum - Spearmint - 15.0 count,,Core-Mark,1,10,10.6,10.6,,,,022000008992,1,UCLA,476,14149,false,
Five Gum - Spearmint Rain - 15.0 count,,Core-Mark,1,10,0,0,,,,022000005144,1,UCLA,58,14149,false,
Oreo Mini - Regular - 4.0 oz,,Core-Mark,1,12,16.44,16.44,,,,044000006808,1,UCLA,4139,14149,false,
Martinelli's  Apple Juice - Gold Medal - 10.0 fl. oz,,Core-Mark,1,12,14.76,14.76,,,,041244000081,1,UCLA,907,14149,false,
Planters Trail Mix - Spicy Nuts & Cajun Sticks - 1.0 count,,Core-Mark,1,12,13.44,13.44,,,,029000072190,1,UCLA,4288,14149,false,
Cheez It - Original - 3.0 oz,,Core-Mark,2,6,7.38,14.76,,,,024100191345,1,UCLA,584,14149,false,
Nestle Nesquik - Chocolate - 14.0 oz,,Core-Mark,1,12,24.24,24.24,,,,028000772123,1,UCLA,4097,14149,false,
Chobani Flip - Almond Coco Loco - 4.5 oz,,Core-Mark,1,12,21.72,21.72,,,,818290012289,1,UCLA,1763,14149,false,
Sour Punch Bites - Rad Reds - 5.0 oz,,Core-Mark,1,12,15.6,15.6,,,,041364087085,1,UCLA,7890,14149,false,
Sour Patch Kids - Watermelon - 8.0 oz,,Core-Mark,1,12,24.24,24.24,,,,070462036008,1,UCLA,7755,14149,false,
Sour Patch Kids - Strawberry - 8.0 oz,,Core-Mark,1,12,24.24,24.24,,,,070462008623,1,UCLA,7888,14149,false,
Sour Patch Kids - Original - 8.0 oz,,Core-Mark,1,12,24.24,24.24,,,,,1,UCLA,7887,14149,false,
Airheads Bites - Original Fruit - 6.0 oz,,Core-Mark,1,12,21.24,21.24,,,,073390014490,1,UCLA,7880,14149,false,
Trolli Sour Brite Crawlers - Original - 5.0 oz,,Core-Mark,1,12,18.12,18.12,,,,020709012302,1,UCLA,210,14149,false,
Snyder's Pretzel Pieces - Honey Mustard & Onion - 5.0 oz,,Core-Mark,1,8,13.92,13.92,,,,077975093900,1,UCLA,184,14149,false,
Maruchan Yakisoba - Chicken - 4.0 oz,,Core-Mark,1,8,8.56,8.56,,,,041789007019,1,UCLA,634,14149,false,
Fruit Gushers - Super Sour Berry - 4.25 oz,,Core-Mark,1,8,14.32,14.32,,,,016000137042,1,UCLA,2495,14149,false,
Starburst Minis - Faveredss - 8.0 oz,,Core-Mark,1,8,18.48,18.48,,,,022000135377,1,UCLA,4425,14149,false,
Chex Mix Muddy Buddies - Cookies & Cream - 4.25 oz,,Core-Mark,1,7,18.48,18.48,,,,016000507043,1,UCLA,4251,14149,false,
Advil Liquid Gels - Ibuprofen - 20.0 count,,Core-Mark,7,1,5.16,36.12,,,,305730169202,1,UCLA,6453,14149,false,
Colgate Toothbrush - Extra Clean - 1.0 count,,Core-Mark,7,1,0.91,6.37,,,,035000551146,1,UCLA,419,14149,false,
Skittles Bag - Sour - 5.7 oz,,Core-Mark,7,1,2.22,15.54,,,,040000140931,1,UCLA,473,14149,false,
Starburst Minis - All Pink - 8.0 oz,,Core-Mark,1,8,18.4,18.4,,,,022000022837,1,UCLA,4731,14149,false,
