product_name                                                                             ,name_ordered                   ,supplier_name ,total_packs_ordered ,pack_size ,pack_price ,PO_cost ,total_packs_received ,receipt_pack_price ,received_cost ,upc          ,store_id ,store_name ,product_id ,restock_order_id ,is_out_of_stock ,out_of_stock_reason
Act 2 Popcorn - Butter - 2.75 oz                                                         ,ACT II MICRO POP BTR TRAY      ,Core-Mark     ,                  2 ,       18 ,     11.88 ,  23.76 ,                     ,                   ,              ,076150232233 ,       5 ,UofA       ,      1069 ,           14084 ,FALSE           ,
Airheads Xtremes Bites - Rainbow Berry - 6.0 oz                                          ,AIRHEADS XTRM BITES BERRY PEG  ,Core-Mark     ,                  1 ,       12 ,     20.28 ,  20.28 ,                     ,                   ,              ,073390008185 ,       5 ,UofA       ,       295 ,           14084 ,FALSE           ,
Arrowhead - Spring Water - 1.0 gal(s)                                                    ,ARROWHEAD WATER SPRING         ,Core-Mark     ,                  1 ,        6 ,     12.42 ,  12.42 ,                     ,                   ,              ,071142000050 ,       5 ,UofA       ,      3022 ,           14084 ,FALSE           ,
Original Bomb Pop - Original - 3.75 oz                                                   ,B B BOMB POP ORIGINAL          ,Core-Mark     ,                  1 ,       24 ,     28.8  ,  28.8  ,                     ,                   ,              ,070640013791 ,       5 ,UofA       ,      4441 ,           14084 ,FALSE           ,
Bagel Bites - Mini Bagel Dogs - 7.75 oz                                                  ,BAGEL BITES MINI BAGEL DOGS    ,Core-Mark     ,                  1 ,        8 ,     52.4  ,  52.4  ,                     ,                   ,              ,070085000783 ,       5 ,UofA       ,      3308 ,           14084 ,FALSE           ,
Bagel Bites Pizza Snacks - Three Cheese - 1.0 count                                      ,BAGEL BITES THREE CHEESE       ,Core-Mark     ,                  1 ,        8 ,     22.24 ,  22.24 ,                     ,                   ,              ,070085060107 ,       5 ,UofA       ,      2561 ,           14084 ,FALSE           ,
Bicycle Dice - Other - 5.0 count                                                         ,BICYCLE DICE                   ,Core-Mark     ,                  3 ,        1 ,      2.52 ,   7.56 ,                     ,                   ,              ,073854001066 ,       5 ,UofA       ,      1814 ,           14084 ,FALSE           ,
Blue Diamond Almonds - Smokehouse - 4.0 oz                                               ,BLUE D ALMONDS SMOKEHOUSE      ,Core-Mark     ,                  1 ,       12 ,     26.04 ,  26.04 ,                     ,                   ,              ,041570099186 ,       5 ,UofA       ,      3012 ,           14084 ,FALSE           ,
Brookside Dark Chocolate - Acai & Blueberry - 7.0 oz                                     ,BROOKSIDE DARK CHOC ACAI W/BLB ,Core-Mark     ,                  1 ,       12 ,     44.4  ,  44.4  ,                     ,                   ,              ,068437389716 ,       5 ,UofA       ,      2369 ,           14084 ,FALSE           ,
Cheez It - Original - 3.0 oz                                                             ,CHEEZ-IT                       ,Core-Mark     ,                  1 ,        6 ,      7.8  ,   7.8  ,                     ,                   ,              ,024100191345 ,       5 ,UofA       ,       584 ,           14084 ,FALSE           ,
