product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Act 2 Popcorn - Butter - 2.75 oz,,Core-Mark,2,18,12.42,24.84,,,,076150232233,2,USC,1069,14030,false,
Advil - Ibuprofen Tablets - 4.0 count,,Core-Mark,1,6,8.34,8.34,,,,366715970022,2,USC,5715,14030,false,
Airheads Xtremes Bites - Rainbow Berry - 6.0 oz,,Core-Mark,1,12,21.24,21.24,,,,073390008185,2,USC,295,14030,false,
Airheads Xtremes Sourfuls Bites - Rainbow Berry - 6.0 oz,,Core-Mark,1,12,21.24,21.24,,,,073390009137,2,USC,252,14030,false,
Angie's Boom Chicka Pop - Sweet & Salty Kettle Corn - 7.0 oz,,Core-Mark,1,12,36.12,36.12,,,,818780011938,2,USC,1254,14030,false,
Arizona Iced Tea - Green Tea W/ Ginseng & Honey - 22.0 oz,,Core-Mark,1,24,16.08,16.08,,,,613008715267,2,USC,1049,14030,false,
Arizona Iced Tea - Half Iced Tea & Half Mango - 22.0 oz,,Core-Mark,1,24,0,0,,,,613008725853,2,USC,1074,14030,false,
Bagel Bites - Mini Bagel Dogs - 7.75 oz,,Core-Mark,1,8,52.4,52.4,,,,070085000783,2,USC,3308,14030,false,
Bagel Bites Pizza Snacks - Cheese & Pepperoni - 9.0 count,,Core-Mark,1,8,21.76,21.76,,,,070085060121,2,USC,2377,14030,false,
Band-aid Bandages - Tru-stay Sheer - 40.0 count,,Core-Mark,3,1,2.7,8.1,,,,381370046660,2,USC,1652,14030,false,
Banquet - Chicken Nuggets With Mac & Cheese - 6.2 oz,,Core-Mark,1,12,19.2,19.2,,,,031000007072,2,USC,2376,14030,false,
Barebell's Protein Bar - Chocolate  Dough - 1.9 fl. oz,,Core-Mark,2,12,24.72,49.44,,,,850000429260,2,USC,5831,14030,false,
Barebells Protein Bar - Salty Peanut - 1.94 fl. oz,,Core-Mark,1,12,24.6,24.6,,,,850000429086,2,USC,3854,14030,false,
Bic Mechanical Pencil - 0.7 mm - 2.0 count,,Core-Mark,3,1,1.87,5.61,,,,,2,USC,7276,14030,false,
